type,address,totalGas,totalFee,calls,rank0,rank
EOA,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,103595169,152716453566576580,437,0.06385020030396173,0.026050900451594215
EOA,0x7a880d63292345e8bc0c2499b7f440814fdab698,400382,1298599194654064,1,0.0005429396555301631,0.000025908721945060557
EOA,0xb0e1650a9760e0f383174af042091fc544b8356f,63567344,260786179642993860,17,0.10903376432488321,0.02114829003070365
EOA,0xc13b65f7c53cd6db2ea205a4b574b4a0858720a6,15507683,19701371146487132,22,0.00823707246067954,0.00025226892892780874
EOA,0x296e9128b89742f17f748c44cb983ab2ec4e3a39,21000,52418142139042,1,0.000021915836813747652,7.861655284511628e-7
EOA,0x71f718d3e4d1449d1502a6a7595eb84ebccb1683,3796976,4371225143238428,9,0.0018275935202215262,0.000011832324847949057
EOA,0xbaeb92889696217a3a6be2175e5a95dc4cffc9f7,21000,52690025893558,1,0.00002202951043423722,7.902432318344567e-7
EOA,0x4a8b4a6a5a298ade31831121a68b8f5c975d4450,13320046,9196027686707938,10,0.0038448261211166974,0.0000923767158750143
EOA,0xe93685f3bba03016f02bd1828badd6195988d950,773926596,508746111408816830,5505,0.21270492051567524,0.21742350983280548
EOA,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,312890765,372538986253080100,8183,0.15575721107827048,0.2510853278277557
EOA,0xb8ff877ed78ba520ece21b1de7843a8a57ca47cb,546981337,580803330097893500,5502,0.24283178464324098,0.4588931989961286
EOA,0x884de35810b085e0f15a1ac7efb86040cdb10bb7,21000,48800219236680,1,0.000020403196252726524,7.31904042744814e-7
EOA,0x4c8d290a1b368ac4728d83a9e8321fc3af2b39b1,59915,6012130417424588,1,0.0025136501172006993,0.00007315643744239261
EOA,0xe7c147cd1a7c05a6e73217645547582024e87a9b,63000,133909493478769.98,3,0.000055987077891997266,0.000002008370068250739
EOA,0xe584b655a6d3d818998670f73c9c0702b66498e2,22846647,45394302398413920,82,0.018979194665057916,0.007881563578112916
EOA,0xa8c94ae38b04140794a9394b76ac6d0a83ac0b02,9257498,33829784302510000,5,0.014144111217285526,0.0009568778075766931
EOA,0x892d3076fb9ac7cb2b9cf25f051a275e69d460e3,204995,386687770210722,1,0.00016167276679381024,1.3021098307520574e-7
EOA,0xc6ef452b0de9e95ccb153c2a5a7a90154aab3419,8680216,296347218050322,3,0.00012390170666048045,5.02206188221903e-7
EOA,0xba76c6980428a0b10cfc5d8ccb61949677a61233,29165266,107436513887422240,28,0.04491882028075464,0.004407837100902272
EOA,0xe86375704cdb8491a5ed82d90dcece02ee0ac25f,363393,971711950068188,1,0.0004062692735498794,0.0000053056536391505516
EOA,0x6f24a47fc8ae5441eb47effc3665e70e69ac3f05,3866579,12595458346788362,7,0.005266115861000152,0.0001425590677697319
EOA,0xb8cd93c83a974649d76b1c19f311f639e62272bc,7478930,18782366102855610,5,0.007852839755258292,0.0002718705608363245
EOA,0xa57adce1d2fe72949e4308867d894cd7e7de0ef2,422232,3674340638224078,4,0.0015362286135941255,0.000231431627603293
EOA,0xbb6633cc267951e938f9b6421e4f54aa5b2c1936,54181,76242632040678,1,0.0000318767704055954,2.552802071264019e-7
EOA,0x31562ae726afebe25417df01bedc72ef489f45b3,13449798,56261356379545656,14,0.023522670873446522,0.0018695514316953129
EOA,0x5180db0237291a6449dda9ed33ad90a38787621c,29742351,49839394143384290,99,0.020837671545953496,0.0013048862816391143
EOA,0xae50429025b59c9d62ae9c3a52a657bc7ab64036,3224784,7643122625456727,3,0.003195562096852933,0.00007305175877212815
EOA,0x4600d3b12c39af925c2c07c487d31d17c1e32a35,30026225,115391962985284340,23,0.048244964953077216,0.007339094705806948
EOA,0xb42adf699846894cfbf6085f2204f67d547f63b6,126000,197525753736567.97,6,0.00008258480764007951,0.0000029624845946869588
EOA,0xb28837949e7a3f1ac862036e8a0ae392c9ff9bb4,405747,1443737014939778,1,0.0006036212565004427,0.000014229636231785858
EOA,0x2102c32a09cbced4146c3db2d27ae21a185bda43,44124,86105810633342,1,0.00003600052992244927,0.0000019062337532077867
EOA,0x734a96c6819d468a7275c75fa14c4c56492da381,21000,59111695175637.99,1,0.000024714387278681852,8.865552112116275e-7
EOA,0xcff4cb3e2f8f8b899d53ff9570d224253140fdda,4160450,20883872335082492,4,0.008731471957185467,0.00043274069932044577
EOA,0x93bc2e4061d4b256eb55446952b49c616db4ac0e,21000,84689366231040,1,0.00003540831960919065,0.0000012701682593139772
CONTRACT,0x9740ff91f1985d8d2b71494ae1a2f723bb3ed9e4,579082,814442645829796,1,0.00034051554274504287,0.00014481373077440183
CONTRACT,0x4ee2f9b7cf3a68966c370f3eb2c16613d3235245,1671217,2280741067852517.5,1,0.0009535696424509308,0.00040553208339134467
CONTRACT,0x3c2269811836af69497e5f486a85d7316753cf62,313907987,374174015185994700,16492,0.15644081079808508,0.20590436180079608
CONTRACT,0xb6319cc6c8c27a8f5daf0dd3df91ea35c4720dd7,108176141,74479708927936260,5538,0.03113969858890364,0.03626332109362256
CONTRACT,0xc1b15d3b262beec0e3565c11c9e0f6134bdacb36,29819361,20623200625071250,5502,0.008622486052202167,0.010024828696350413
