type,address,totalGas,totalFee,calls,rank0,rank
EOA,0xe7c147cd1a7c05a6e73217645547582024e87a9b,903430,2451277707685148,8,0.17128461871176648,0.04988996789607863
EOA,0xa2b239d79a38d9837909fa545cfc1256074f0481,581817,2542975405307342,16,0.1776920547704074,0.03964518200543761
EOA,0xc6ef452b0de9e95ccb153c2a5a7a90154aab3419,784486,3442743893093544,3,0.24056396107304395,0.14825663685474555
EOA,0xb0e1650a9760e0f383174af042091fc544b8356f,1835686,5874140363522716,1,0.4104593654447821,0.7622082132437382
CONTRACT,0xc4eb45d80dc1f079045e75d5d55de8ed1c1090e6,527262,1106354678393996.2,23,0.07730725027791711,0.03291439357722535
CONTRACT,0xc22834581ebc8527d974f8a1c97e1bea4ef910bc,60467,201329041757938.4,1,0.014067997291779367,0.005989601208688108
CONTRACT,oxtransfer,0,0,0,undefined,0.013162805092267579
CONTRACT,0xfc00000000000000000000000000000000000001,88608,377582941871343.3,3,0.026383852807756673,0.010177003772681426
CONTRACT,0xfc00000000000000000000000000000000000002,88608,377782528616815.3,3,0.026397799060966138,0.010182296893090173
CONTRACT,0xfc00000000000000000000000000000000000003,88608,377782528616815.3,3,0.026397799060966138,0.010182296893090173
CONTRACT,0xfc00000000000000000000000000000000000004,88608,377782528616815.3,3,0.026397799060966138,0.010182296893090173
CONTRACT,0xfc00000000000000000000000000000000000005,88608,377782528616815.3,3,0.026397799060966138,0.010182296893090173
CONTRACT,0xfc00000000000000000000000000000000000007,88608,377632838557711.3,3,0.02638733937105904,0.010178327052783615
CONTRACT,0xfc00000000000000000000000000000000000008,88608,377582941871343.3,3,0.026383852807756673,0.010177003772681426
CONTRACT,0x4200000000000000000000000000000000000018,33545,159190847599726,2,0.011123563661528746,0.004735976910583032
CONTRACT,0x4200000000000000000000000000000000000016,60606,114909948948655.31,2,0.00802940716596565,0.003418606491658903
CONTRACT,0x4200000000000000000000000000000000000007,46227,87647134112950.69,2,0.006124400307908361,0.0026075293253129414
CONTRACT,0x4200000000000000000000000000000000000010,44864,85062864231800.03,2,0.005943822774871843,0.0025306464977359515
CONTRACT,0xfc00000000000000000000000000000000000009,29020,141246511942984,1,0.009869691576222044,0.003745914054870232
CONTRACT,0x35086f8ef1c13f57931a7c7f594feee15d9568e8,132163,736031480597502,1,0.05143067679306499,0.03774751191829924
CONTRACT,0xb237e3058a1167582cded9db00bc23b03a3b56c6,132163,584557447231402,1,0.040846330528052435,0.029979137833052102
CONTRACT,0x219356ef2f11a314dd0d8bfd7f4b0b951cb16c3a,520160,2122154965264640,1,0.1482869537519265,0.10883511365407321
CONTRACT,0x509728dc748586214fa30cef61359f136523f24d,1835686,5874140363522716,1,0.41045936544478206,0.6830712412657262
