type,address,totalGas,totalFee,calls,rank0,rank
CONTRACT,0xbdb235d35232f4ff25a7968cd6e7149231fb47ce,3923596,6589616913580384,1,0.008844731105428272,0.0023517209839280765
CONTRACT,0xe3c4c47685974b704bca0def8edd4898155e2b6e,1607242,1086420025096688.2,7,0.001458217240175175,0.00038772462859170163
CONTRACT,0x138e0d2aad08bdd55e7ba1ba07f74f69cddf9407,1192795,2418569637060720,4,0.00324625822412679,0.0008631459220102999
CONTRACT,0xd680db0f7e932f5f2505d60e8cd6687a0f808ce8,3923596,6383098562780584,1,0.00856753755910901,0.002278018135111297
CONTRACT,0x4d224153eec106ab73114d5b8365d9af05c432f1,1645951,1223598519495280,11,0.0016423412814229397,0.00043668127479005314
CONTRACT,0x8bf3ddd43f627be77364d3355a19853eb2db21ab,1192795,2289598781975591,4,0.00307315065981387,0.0008171184411724117
CONTRACT,0xb5add58879d7975c1f7f51460ebf5df95cadb055,3923596,6042358716266984,1,0.00811018892126836,0.0021564139420883256
CONTRACT,0x1238a965950695b0d839ea47123cd8885649d468,814949,897313483575076,15,0.001204394213439106,0.00032023575515234933
CONTRACT,0xff1af6f79feea0763efdf339b88d6a3ab66977a7,1152602,294768100410909.6,2,0.00039564433271065797,0.00010519766721193302
CONTRACT,0x5d100edeeaf92463f576821c3f1e1046b94263e2,184487,135535651798883.94,2,0.0001819189811913883,0.00004837034391922187
CONTRACT,0x12d68cf22019dfde54e2f00a80ceff7f180884df,1231915,2320668475218982.5,4,0.0031148530965214734,0.0008282066805227311
CONTRACT,0xc3f942d20ff670e114507e36d9f31265391859f0,3923596,5883109478297128,1,0.007896441034697752,0.0020995806269624574
CONTRACT,0xb0544dce659ddf702f1823815a1a1fa8100dc65d,473958,838346327440641.8,6,0.001125247178505098,0.00029919139092563353
CONTRACT,0x9cb8710332f63296e77d612ea9d8de4dc1a1cf5e,1128964,2074199519855135.8,1,0.0027840369558234583,0.0007402461477910859
CONTRACT,0xa0f58e5f59e0b466a7c328d75ef07e5a64e64b73,3923596,5756964801545784,1,0.0077271268301121335,0.0020545617605825946
CONTRACT,0x876e3df736860948ad7acc34f28b2ec85dc9bf73,415088,711153629696543.9,2,0.0009545262967187677,0.0002537985038716436
CONTRACT,0xf7656410c805cbe55b141755142714f2e7529c5d,1513189,3142829546682946,1,0.004218376062699263,0.0011216218318566278
CONTRACT,0x3d2b441634456442a39c27d26eda0f31e76a8c42,1357201,2703161328852020.5,14,0.0036282435537360823,0.0009647118039446336
CONTRACT,0x1153c7468bd2a7af7f5f3474962d0f1044de722c,1175994,2864026030518781.5,3,0.0038441597517877802,0.0010221216502899354
CONTRACT,0xf69889805f6ef91655c11ee90cef999b704d9ff6,3923596,7898977293294784,1,0.010602183872494054,0.002819009192162524
CONTRACT,0xe48c5a26e3dc684b705b02e7445be447dada05c7,605732,1027010616787813.5,7,0.0013784766044878888,0.0003665224321673847
CONTRACT,0x8754f19b00ef548dd656a8b7db74e14586d8f58b,1111526,296684926517496.06,1,0.0003982171395537511,0.00010588174949418382
CONTRACT,0xc399f190cb5da949496381e509346894160edc69,1192815,2982413112850188,4,0.0040030615397535635,0.0010643719645944004
CONTRACT,0xa548afa249d302213f8bb2b87dd78ea98fe9692d,3923596,7923625450672232,1,0.010635267180235134,0.0028278056957650698
CONTRACT,0xb495c193c9d674013a08fd8054abb0db1cef39bc,694353,1214839191161673.2,11,0.001630584315154499,0.00043355522110325904
CONTRACT,0xaafacfbd6f5d779f4d8f4d63baacff597ab3fcfe,1160588,369960545905668.94,2,0.0004965693136742885,0.00013203255825673194
CONTRACT,0xe1696dde1b0b50a8eb3519fe2aeb3a17f57b55c0,1243098,2828688681980538,7,0.0037967291727573913,0.0010095103581368966
CONTRACT,0xdaf7032d11b60d468d478defc5c3da26c79e585a,3923596,7380337616815184,1,0.009906054106647626,0.0026339156083820922
CONTRACT,0x8596af2f3fa677d4915bd2f7925d3c9223655d7d,1123907,1649968222148695.8,27,0.0022146242260807766,0.0005888452912710062
CONTRACT,0xde5a027710aa4c8391cae0e3788095a1e6c276c0,1297245,592431548011502.8,6,0.0007951748651329915,0.00021142863405737027
CONTRACT,0x6ee6f157199486aaf7c7a6b40c4614d9488cadba,380510,334675143555443.6,6,0.00044920845797850266,0.00011943980480510783
CONTRACT,0x293e250b0c058bdbb89667f97ac3b2e9feab911d,1283109,2990607983520614,7,0.004014060878330333,0.0010672965730456898
CONTRACT,0x7a7a76fcf6b5767a127d524007dadd2c1382f228,3923596,8113344586976863,1,0.01088991244538103,0.0028955131937503957
CONTRACT,0x93540654402a2e18a1b5c9857898871d5298c0ee,845576,1596915515739172.5,19,0.002143415697760955,0.0005699116924664496
CONTRACT,0x272795013ef6b702570e88d643d87fb6af552c92,1225216,493597696295109.25,4,0.0006625178603314319,0.00017615653158888385
CONTRACT,0x74f23050f32962ae97bea6b4b47bf81f3dd9244f,1192795,2847644116160041,4,0.003822171580184571,0.0010162752267027057
CONTRACT,0x570356341b35db71114dd99c4641b5b7e21d8dc7,3923596,7669664322703274,1,0.010294394878009566,0.0027371713354404515
CONTRACT,0x2e7a3c96c781b613675ac32430a8b4fba3012b54,853734,1379338609801033.8,17,0.0018513791115660992,0.0004922622354459123
CONTRACT,0xca905224386f83e9d088a449fd2cd93ef9d88fa7,1226889,425746172937327,4,0.0005714460291364379,0.0001519414894453667
CONTRACT,0xad19e5ec15cd86c27ba6e54f5ff5753fa8b63292,1176014,2750873588683122.5,3,0.0036922840152944364,0.0009817394891814169
CONTRACT,0x68331c7a103055fe3dd5141f258cc7376b03cfa2,3923596,7553640158019183,1,0.010138664650923399,0.0026957643058196585
CONTRACT,0x622b2932c1d04493909e0c4d2363e8cc44ad3ef1,589976,1435229140475431.5,8,0.0019263966310422273,0.0005122086049410763
CONTRACT,0x7f2a938f6d1852872e2bb59572208dc73f990e78,1192775,2839765209217980.5,4,0.0038115963351860946,0.0010134633802738376
CONTRACT,0x3e5ca3f2e73c25171a8dc3ce9a0eb30b1e2c3b06,3923596,7623294148219784,1,0.010232155793401622,0.0027206226173903192
CONTRACT,0x4e85c6ae9770e19d9878b349c98ac29498d546b3,759559,1449247572414451.5,13,0.0019452124837156738,0.0005172115422870726
CONTRACT,0xc87f5ef769d63236dd5b2b9b79fbacae8d541837,1111526,304099702096190.1,1,0.00040816941706255284,0.000108527955419083
CONTRACT,0x6b8d22692985e238eb20b47c32bea34bd4c9c107,1072517,215345269697988100,1,0.28904123415419564,0.4441502409202894
CONTRACT,0x947b7742c403f20e5faccdac5e092c943e7d0277,273000,769769799009516,13,0.0010332022292961298,0.0015876524344497058
CONTRACT,0x8dcba0fdc0853095791e6a8d9ec89c66c2028881,1072517,215418132780772100,1,0.28913903261246543,0.44430052123904484
CONTRACT,0x124e37ca2439b52fc6bf90a04cb8021c639bf781,1072517,846530284746623.9,1,0.0011362318689201872,0.001745971158056261
